Product Id,Product Type,Product,Type,Market Size,Market,State,Budget Sales,Budget Profit,Cogs,Profit,Sales,Total Expenses,Date,Country
1,Coffee,Amaretto,Regular,Major Market,Central,Colorado,220,100,89,94,219,36,1/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,Central,Colorado,190,80,83,68,190,39,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Colorado,240,110,95,101,234,38,1/1/2010,USA
13,Tea,Green Tea,Regular,Major Market,Central,Colorado,80,30,44,30,100,26,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Colorado,150,70,54,54,134,26,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Colorado,210,80,72,53,180,55,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Colorado,300,110,170,99,341,72,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Colorado,130,20,63,0,150,87,1/1/2010,USA
10,Herbal Tea,Mint,Decaf,Major Market,Central,Colorado,120,40,60,33,140,47,1/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,Central,Colorado,110,20,58,17,130,55,1/1/2010,USA
12,Tea,Earl Grey,Regular,Major Market,Central,Colorado,120,40,64,36,140,40,1/1/2010,USA
2,Coffee,Columbian,Regular,Major Market,Central,Illinois,360,130,144,111,345,90,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Major Market,Central,Illinois,240,100,95,87,234,52,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Major Market,Central,Illinois,640,260,234,203,546,109,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Major Market,Central,Illinois,530,180,228,140,456,88,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Major Market,Central,Illinois,190,100,89,95,219,35,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Major Market,Central,Illinois,160,60,83,68,190,39,1/1/2010,USA
10,Herbal Tea,Mint,Decaf,Major Market,Central,Illinois,200,100,95,101,234,38,1/1/2010,USA
11,Tea,Darjeeling,Regular,Major Market,Central,Illinois,110,50,54,53,134,27,1/1/2010,USA
12,Tea,Earl Grey,Regular,Major Market,Central,Illinois,150,40,72,54,180,54,1/1/2010,USA
1,Coffee,Amaretto,Regular,Small Market,Central,Iowa,40,20,18,11,45,16,1/1/2010,USA
2,Coffee,Columbian,Regular,Small Market,Central,Iowa,60,20,28,5,62,29,1/1/2010,USA
3,Coffee,Decaf Irish Cream,Decaf,Small Market,Central,Iowa,50,20,23,12,54,19,1/1/2010,USA
5,Espresso,Caffe Mocha,Regular,Small Market,Central,Iowa,50,30,17,11,43,15,1/1/2010,USA
6,Espresso,Decaf Espresso,Decaf,Small Market,Central,Iowa,50,30,17,10,43,16,1/1/2010,USA
8,Herbal Tea,Chamomile,Decaf,Small Market,Central,Iowa,480,200,234,202,546,110,1/1/2010,USA
9,Herbal Tea,Lemon,Decaf,Small Market,Central,Iowa,200,90,95,86,234,53,1/1/2010,USA
